time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677113780090,20,0.49,772,6144,5371,28,28,28,28,1,32
1677113840080,20,0.52,762,6144,5381,39,39,39,39,1,32
1677113900089,20,0.53,729,6144,5414,40,40,40,40,1,32
1677114302982,20,0.77,360,6144,5783,0,0,0,0,0,32
1677114362938,20.59,0.64,777,6144,5366,16,16,13,19,2,32
1677114422947,20,0.52,720,6144,5423,29,29,25,34,2,32
1677114492622,20,0.72,409,6144,5734,0,0,0,0,0,32
1677114612684,20,0.77,408,6144,5735,0,0,0,0,0,32
1677114672620,20.79,0.69,729,6144,5414,19,19,19,19,1,32
1677114732621,20,0.53,692,6144,5451,38,38,38,38,1,32
1677114792629,20,0.54,696,6144,5447,49,49,49,49,1,32
1677114852627,20,0.53,729,6144,5414,54,54,54,54,1,32
1677114958640,20,0.66,443,6144,5700,0,0,0,0,0,32
1677115018595,20.3,0.64,643,6144,5500,0,0,0,0,1,32
1677115113169,20,0.68,400,6144,5743,0,0,0,0,0,32
1677115173101,20.63,0.59,541,6144,5602,0,0,0,0,0,32
1677115957747,20,0,392,6144,5751,0,0,0,0,0,32
1677116017737,20.75,0.59,617,6144,5526,0,0,0,0,0,32
1677116077732,20,0.57,542,6144,5601,0,0,0,0,0,32
1677116137729,20,0.52,599,6144,5544,0,0,0,0,0,32
1677116197727,20,0.5,655,6144,5488,0,0,0,0,0,32
1677116257736,20,0.48,541,6144,5602,0,0,0,0,0,32
1677116317728,20,0.51,716,6144,5427,0,0,0,0,0,32
1677116377732,20,0.5,582,6144,5561,0,0,0,0,0,32
1677116437735,20,0.51,635,6144,5508,0,0,0,0,0,32
1677116497731,20,0.49,690,6144,5453,0,0,0,0,0,32
1677116557733,20,0.5,555,6144,5588,0,0,0,0,0,32
1677116617732,20,0.46,609,6144,5534,0,0,0,0,0,32
1677116677730,20,0.51,666,6144,5477,0,0,0,0,0,32
1677116737734,20,0.51,534,6144,5609,0,0,0,0,0,32
1677116797726,20,0.57,588,6144,5555,0,0,0,0,0,32
1677116857735,20,0.47,642,6144,5501,0,0,0,0,0,32
1677116917731,20,0.5,699,6144,5444,0,0,0,0,0,32
1677116977728,20,0.62,681,6144,5462,11,11,11,11,1,32
1677117037733,20,0.51,618,6144,5525,27,27,27,27,1,32
1677117097745,20,0.49,691,6144,5452,30,30,30,30,1,32
1677117157733,20,0.56,636,6144,5507,31,31,31,31,1,32
1677117217726,20,0.53,577,6144,5566,31,31,31,31,1,32
1677117277728,20,0.72,710,6144,5433,33,33,33,33,1,32
1677117337727,20,0.55,651,6144,5492,33,33,33,33,1,32
1677117397726,20,0.46,745,6144,5398,40,40,40,40,1,32
1677117457734,20,0.49,679,6144,5464,35,35,35,35,1,32
1677117517731,20,0.48,582,6144,5561,34,34,34,34,1,32
1677117577726,20,0.53,697,6144,5446,36,36,36,36,1,32
1677117637731,20,0.52,781,6144,5362,35,35,35,35,1,32
1677117697731,20,0.49,656,6144,5487,36,36,36,36,1,32
1677117757730,20,0.43,592,6144,5551,34,34,34,34,1,32
1677117817736,20,0.45,689,6144,5454,34,34,34,34,1,32
1677117877730,20,0.49,605,6144,5538,33,33,33,33,1,32
1677117937731,20,0.48,598,6144,5545,34,34,34,34,1,32
1677117997735,20,0.46,685,6144,5458,46,46,46,46,1,32
1677118057728,20,0.5,770,6144,5373,36,36,36,36,1,32
1677118117725,20,0.46,853,6144,5290,34,34,34,34,1,32
1677118177731,20,0.48,953,6144,5190,33,33,33,33,1,32
1677118237738,20,0.45,1040,6144,5103,34,34,34,34,1,32
1677118297731,20,0.43,548,6144,5595,35,35,35,35,1,32
1677118357730,20,0.51,657,6144,5486,34,34,34,34,1,32
1677118417725,20,0.46,741,6144,5402,34,34,34,34,1,32
1677118477725,20,0.43,831,6144,5312,37,37,37,37,1,32
1677118537727,20,0.45,913,6144,5230,34,34,34,34,1,32
1677118597726,20,0.48,999,6144,5144,33,33,33,33,1,32
1677118657731,20,0.65,1073,6144,5070,33,33,33,33,1,32
1677118717736,20,0.62,598,6144,5545,33,33,33,33,1,32
1677118777734,20,0.48,714,6144,5429,33,33,33,33,1,32
1677118837728,20,0.49,789,6144,5354,34,34,34,34,1,32
1677118897729,20,0.5,898,6144,5245,0,0,0,0,0,32
1677118957730,20,0.53,1224,6144,4919,12,12,12,12,1,32
1677119017729,20,0.51,893,6144,5250,36,36,36,36,1,32
1677119077733,20,0.51,1143,6144,5000,44,44,44,44,1,32
1677119137725,20,0.5,790,6144,5353,45,45,45,45,1,32
1677119277806,20,0.72,423,6144,5720,0,0,0,0,0,32
1677119337776,20.76,0.61,627,6144,5516,0,0,0,0,0,32
1677119397787,20,0.49,595,6144,5548,0,0,0,0,0,32
1677119457778,20,0.56,651,6144,5492,0,0,0,0,0,32
1677119517781,20,0.54,595,6144,5548,0,0,0,0,0,32
1677119577779,20,0.72,647,6144,5496,0,0,0,0,0,32
1677119637775,20,0.58,557,6144,5586,0,0,0,0,0,32
1677119697771,20,0.52,659,6144,5484,16,16,16,16,1,32
1677119757776,20,0.48,896,6144,5247,34,34,34,34,1,32
1677119817774,20,0.41,694,6144,5449,40,40,40,40,1,32
1677119877772,20,0.35,814,6144,5329,37,37,37,37,1,32
1677119937778,20,0.4,937,6144,5206,38,38,38,38,1,32
1677119997775,20,0.51,735,6144,5408,43,43,43,43,1,32
1677120057781,20,0.54,854,6144,5289,42,42,42,42,1,32
1677120117780,20,0.49,975,6144,5168,48,48,48,48,1,32
1677120177777,20,0.53,1096,6144,5047,46,46,46,46,1,32
1677120237775,20,0.57,731,6144,5412,40,40,40,40,1,32
1677120297778,19.99,0.59,860,6144,5283,43,43,43,43,1,32
1677120357776,20.01,0.55,980,6144,5163,41,41,41,41,1,32
1677120417778,20,0.56,1101,6144,5042,43,43,43,43,1,32
1677120477781,20,0.54,1223,6144,4920,41,41,41,41,1,32
1677120537777,20,0.53,686,6144,5457,38,38,38,38,1,32
1677120597771,20,0.53,813,6144,5330,39,39,39,39,1,32
1677120657776,20,0.59,933,6144,5210,39,39,39,39,1,32
1677120717772,20,0.51,1051,6144,5092,39,39,39,39,1,32
1677120777779,20,0.73,705,6144,5438,42,42,42,42,1,32
1677120837777,20,0.59,707,6144,5436,38,38,38,38,1,32
1677120897775,20,0.54,835,6144,5308,41,41,41,41,1,32
1677120957779,20,0.74,954,6144,5189,41,41,41,41,1,32
1677121017780,20,0.56,680,6144,5463,41,41,41,41,1,32
1677121077780,20,0.58,804,6144,5339,40,40,40,40,1,32
1677121137778,20,0.52,924,6144,5219,42,42,42,42,1,32
1677121197779,20,0.67,788,6144,5355,41,41,41,41,1,32
1677121257793,20,0.72,615,6144,5528,44,44,44,44,1,32
1677121317776,20,0.55,737,6144,5406,41,41,41,41,1,32
1677121377783,20,0.54,861,6144,5282,41,41,41,41,1,32
1677121437773,20,0.49,637,6144,5506,42,42,42,42,1,32
1677121497779,20,0.67,772,6144,5371,41,41,41,41,1,32
1677121557781,20,0.62,1211,6144,4932,40,40,40,40,1,32
1677121617778,20,0.53,1375,6144,4768,40,40,40,40,1,32
1677121677774,20,0.67,1521,6144,4622,46,46,46,46,1,32
1677121737772,20,0.66,661,6144,5482,41,41,41,41,1,32
1677121797778,20,0.56,674,6144,5469,39,39,39,39,1,32
1677121857782,20,0.43,940,6144,5203,37,37,37,37,1,32
1677121917778,20,0.4,1294,6144,4849,39,39,39,39,1,32
1677121977779,20,0.52,1646,6144,4497,39,39,39,39,1,32
1677122037779,20,0.52,1904,6144,4239,24,24,10,39,2,32
1677122097776,20,0.53,724,6144,5419,31,31,23,39,2,32
1677122157774,20,0.53,894,6144,5249,36,36,26,46,2,32
1677122217778,20,0.51,1075,6144,5068,34,34,27,42,2,32
1677122277773,20,0.5,1236,6144,4907,33,33,28,39,2,32
1677122337781,20,0.5,1412,6144,4731,38,38,29,47,2,32
1677122397772,20,0.65,717,6144,5426,37,37,29,45,2,32
1677122457771,20,0.6,865,6144,5278,36,36,29,44,2,32
1677122517772,20,0.51,1045,6144,5098,41,41,41,41,1,32
1677122577779,20,0.47,767,6144,5376,38,38,38,38,1,32
1677122637772,20,0.45,712,6144,5431,39,39,39,39,1,32
1677122697775,20,0.48,873,6144,5270,39,39,39,39,1,32
1677122757779,20,0.45,1012,6144,5131,38,38,38,38,1,32
1677122817782,20,0.45,1158,6144,4985,41,41,41,41,1,32
1677122877777,20,0.44,1302,6144,4841,40,40,40,40,1,32
1677122937775,20,0.44,1442,6144,4701,40,40,40,40,1,32
1677122997778,20,0.44,1590,6144,4553,39,39,39,39,1,32
1677123057779,20,0.47,760,6144,5383,41,41,41,41,1,32
1677123117778,20,0.51,861,6144,5282,45,45,45,45,1,32
1677123177775,20,0.54,823,6144,5320,43,43,43,43,1,32
1677123237778,20,0.65,964,6144,5179,42,42,42,42,1,32
1677123297774,20,0.49,845,6144,5298,45,45,45,45,1,32
1677123357780,20,0.45,985,6144,5158,44,44,44,44,1,32
1677123417778,20,0.43,1152,6144,4991,43,43,43,43,1,32
1677123477778,20,0.45,832,6144,5311,51,51,51,51,1,32
1677123537779,20,0.43,794,6144,5349,48,48,48,48,1,32
1677123597778,20,0.52,785,6144,5358,43,43,43,43,1,32
1677123657781,20,0.66,842,6144,5301,43,43,43,43,1,32
1677123717773,20,0.52,837,6144,5306,40,40,40,40,1,32
1677123777780,20,0.46,860,6144,5283,40,40,40,40,1,32
1677123837773,20,0.45,856,6144,5287,43,43,43,43,1,32
1677123897775,20,0.46,764,6144,5379,41,41,41,41,1,32
1677123957774,20,0.68,823,6144,5320,38,38,38,38,1,32
1677124017779,20,0.58,962,6144,5181,37,37,37,37,1,32
1677124077780,20,0.65,878,6144,5265,40,40,40,40,1,32
1677124137772,20,0.6,919,6144,5224,42,42,42,42,1,32
1677124197789,20,0.6,886,6144,5257,40,40,40,40,1,32
1677124257775,20,0.65,904,6144,5239,39,39,39,39,1,32
1677124317774,20,0.47,866,6144,5277,41,41,41,41,1,32
1677124377780,20,0.43,1036,6144,5107,41,41,41,41,1,32
1677124437780,20,0.44,993,6144,5150,43,43,43,43,1,32
1677124497780,20,0.44,1121,6144,5022,43,43,43,43,1,32
1677124557780,20,0.45,1211,6144,4932,42,42,42,42,1,32
1677124617781,20,0.44,978,6144,5165,44,44,44,44,1,32
1677124677776,20,0.51,1070,6144,5073,42,42,42,42,1,32
1677124737774,20,0.63,1226,6144,4917,39,39,39,39,1,32
1677124797778,20,0.51,1073,6144,5070,39,39,39,39,1,32
1677124857774,20,0.45,1111,6144,5032,41,41,41,41,1,32
1677124917774,20,0.49,1437,6144,4706,39,39,39,39,1,32
1677124977777,20,0.42,1337,6144,4806,39,39,39,39,1,32
1677125037776,20,0.53,1080,6144,5063,41,41,41,41,1,32
1677125097782,20,0.69,1217,6144,4926,41,41,41,41,1,32
1677125157801,20,0.65,1348,6144,4795,40,40,40,40,1,32
1677125217775,20,0.52,1040,6144,5103,41,41,41,41,1,32
1677125277786,20,0.46,1002,6144,5141,41,41,41,41,1,32
1677125337777,20,0.45,1136,6144,5007,39,39,39,39,1,32
1677125397779,20,0.44,1274,6144,4869,40,40,40,40,1,32
1677125457778,20,0.63,1405,6144,4738,40,40,40,40,1,32
1677125517787,20,0.62,970,6144,5173,39,39,39,39,1,32
1677125577782,20,0.43,1102,6144,5041,39,39,39,39,1,32
1677125637780,20,0.4,992,6144,5151,38,38,38,38,1,32
1677125697775,20,0.58,1387,6144,4756,37,37,37,37,1,32
1677125757783,20,0.66,1515,6144,4628,39,39,39,39,1,32
1677125817776,20,0.5,1172,6144,4971,41,41,41,41,1,32
1677125877775,20,0.46,982,6144,5161,39,39,39,39,1,32
1677125937775,20,0.43,1608,6144,4535,41,41,41,41,1,32
1677125997787,20,0.43,1140,6144,5003,42,42,42,42,1,32
1677126057776,20,0.57,1674,6144,4469,43,43,43,43,1,32
1677126117779,20,0.66,1171,6144,4972,41,41,41,41,1,32
1677126177779,20,0.54,1166,6144,4977,43,43,43,43,1,32
1677126237782,20,0.64,1379,6144,4764,42,42,42,42,1,32
1677126297787,20,0.64,1385,6144,4758,42,42,42,42,1,32
1677126357778,20,0.5,1377,6144,4766,41,41,41,41,1,32
1677126417782,20,0.63,1470,6144,4673,101,101,101,101,1,32
1677126477781,20,0.65,1423,6144,4720,63,63,63,63,1,32
1677126537777,20,0.53,1513,6144,4630,50,50,50,50,1,32
1677126597794,20,0.5,1619,6144,4524,43,43,43,43,1,32
1677126657776,20,0.46,1478,6144,4665,41,41,41,41,1,32
1677126717790,20,0.46,1538,6144,4605,42,42,42,42,1,32
1677126777781,20,0.45,1561,6144,4582,41,41,41,41,1,32
1677126837775,20,0.45,1484,6144,4659,41,41,41,41,1,32
1677126897779,20,0.47,1590,6144,4553,39,39,39,39,1,32
1677126957774,20,0.47,1585,6144,4558,39,39,39,39,1,32
1677127017781,20,0.56,1664,6144,4479,41,41,41,41,1,32
1677127077778,20,0.7,1575,6144,4568,43,43,43,43,1,32
1677127137772,20,0.59,1679,6144,4464,42,42,42,42,1,32
1677127197774,20,0.48,1695,6144,4448,38,38,38,38,1,32
1677127257776,20,0.49,1706,6144,4437,38,38,38,38,1,32
1677127317783,20,0.51,1774,6144,4369,0,0,0,0,0,32
1677127377773,20,0.49,1826,6144,4317,0,0,0,0,0,32
1677127437777,20,0.49,1847,6144,4296,35,35,35,35,1,32
1677127497776,20,0.48,1953,6144,4190,43,43,43,43,1,32
1677127557813,20,0.53,2001,6144,4142,46,46,46,46,1,32
1677127617779,20,0.65,2005,6144,4138,47,47,47,47,1,32
1677127677775,20,0.65,1967,6144,4176,51,51,51,51,1,32
1677127737779,20,0.53,1937,6144,4206,48,48,48,48,1,32
1677127797777,20,0.47,1943,6144,4200,46,46,46,46,1,32
1677127857777,20,0.48,2061,6144,4082,50,50,50,50,1,32
1677127917783,20,0.44,2185,6144,3958,47,47,47,47,1,32
1677127977774,20,0.45,1989,6144,4154,45,45,45,45,1,32
1677128037772,20,0.47,2188,6144,3955,50,50,50,50,1,32
1677128097779,20,0.6,1943,6144,4200,48,48,48,48,1,32
1677128157772,20,0.64,2015,6144,4128,57,57,57,57,1,32
1677128217777,20,0.56,2007,6144,4136,52,52,52,52,1,32
1677128277826,20,0.52,2086,6144,4057,47,47,47,47,1,32
1677128337776,20,0.55,2092,6144,4051,46,46,46,46,1,32
1677128397774,20,0.5,1975,6144,4168,59,59,59,59,1,32
1677128457776,20,0.52,2091,6144,4052,51,51,51,51,1,32
1677128517779,20,0.54,2167,6144,3976,46,46,46,46,1,32
1677128577770,20,0.5,2018,6144,4125,45,45,45,45,1,32
1677128637776,20,0.52,2137,6144,4006,44,44,44,44,1,32
1677128697774,20,0.47,2212,6144,3931,44,44,44,44,1,32
1677128757772,20,0.48,2313,6144,3830,46,46,46,46,1,32
1677128817772,20,0.48,2024,6144,4119,50,50,50,50,1,32
1677128877798,20,0.45,2090,6144,4053,46,46,46,46,1,32
1677128937780,20,0.46,2166,6144,3977,53,53,53,53,1,32
1677128997773,20,0.5,2258,6144,3885,49,49,49,49,1,32
1677129057772,20,0.46,2338,6144,3805,101,101,101,101,1,32
1677129117777,20,0.44,2146,6144,3997,62,62,62,62,1,32
1677129177779,20,0.5,2205,6144,3938,51,51,51,51,1,32
1677129237773,20,0.49,2245,6144,3898,51,51,51,51,1,32
1677129297777,20,0.46,2284,6144,3859,49,49,49,49,1,32
1677129357774,20,0.45,2202,6144,3941,46,46,46,46,1,32
1677129417774,20,0.46,2218,6144,3925,45,45,45,45,1,32
1677129477777,20,0.47,2280,6144,3863,48,48,48,48,1,32
1677129537776,20,0.48,2376,6144,3767,45,45,45,45,1,32
1677129597779,20,0.51,2305,6144,3838,43,43,43,43,1,32
1677129657777,20,0.49,2285,6144,3858,45,45,45,45,1,32
1677129717777,20,0.46,2324,6144,3819,46,46,46,46,1,32
1677129777773,20,0.49,2303,6144,3840,49,49,49,49,1,32
1677129837773,20,0.49,2324,6144,3819,0,0,0,0,0,32
1677129897782,20,0.5,2374,6144,3769,0,0,0,0,0,32
1677129957773,20,0.48,2295,6144,3848,0,0,0,0,0,32
1677130017779,20,0.47,2343,6144,3800,0,0,0,0,0,32
1677130077776,20,0.47,2389,6144,3754,0,0,0,0,0,32
1677130137772,20,0.45,2439,6144,3704,0,0,0,0,0,32
1677130197782,20,0.51,2331,6144,3812,0,0,0,0,0,32
1677130257778,20,0.52,2378,6144,3765,0,0,0,0,0,32
1677130317779,20,0.52,2425,6144,3718,0,0,0,0,0,32
1677130377786,20,0.52,2311,6144,3832,0,0,0,0,0,32
1677130437779,20,0.51,2359,6144,3784,0,0,0,0,0,32
1677130497797,20,0.54,2407,6144,3736,0,0,0,0,0,32
1677130557786,20,0.47,2302,6144,3841,0,0,0,0,0,32
1677130617787,20,0.53,2347,6144,3796,0,0,0,0,0,32
1677130677797,20,0.5,2395,6144,3748,0,0,0,0,0,32
1677130737780,20,0.48,2444,6144,3699,0,0,0,0,0,32
1677130797779,20,0.52,2314,6144,3829,0,0,0,0,0,32
1677130857778,20,0.51,2361,6144,3782,0,0,0,0,0,32
1677130917773,20,0.45,2407,6144,3736,0,0,0,0,0,32
1677130977780,20,0.48,2455,6144,3688,0,0,0,0,0,32
1677131037780,20,0.48,2320,6144,3823,0,0,0,0,0,32
1677131097772,20,0.46,2368,6144,3775,0,0,0,0,0,32
1677131157774,20,0.44,2416,6144,3727,0,0,0,0,0,32
1677131217774,20,0.44,2464,6144,3679,0,0,0,0,0,32
1677131277775,20,0.44,2324,6144,3819,0,0,0,0,0,32
1677131337776,20,0.45,2374,6144,3769,0,0,0,0,0,32
1677131397773,20,0.49,2420,6144,3723,0,0,0,0,0,32
1677131457775,20,0.45,2467,6144,3676,0,0,0,0,0,32
1677131517776,20,0.44,2325,6144,3818,0,0,0,0,0,32
1677131577779,20,0.43,2371,6144,3772,0,0,0,0,0,32
1677131637777,20,0.45,2421,6144,3722,0,0,0,0,0,32
1677131697776,20,0.47,2471,6144,3672,0,0,0,0,0,32
1677131757775,20,0.45,2331,6144,3812,0,0,0,0,0,32
1677131817771,20,0.44,2377,6144,3766,0,0,0,0,0,32
1677131877776,20,0.46,2425,6144,3718,0,0,0,0,0,32
1677131937774,20,0.47,2475,6144,3668,0,0,0,0,0,32
1677131997772,20,0.44,2328,6144,3815,0,0,0,0,0,32
1677132057772,20,0.44,2376,6144,3767,0,0,0,0,0,32
1677132117776,20,0.46,2423,6144,3720,0,0,0,0,0,32
1677132177772,20,0.45,2470,6144,3673,0,0,0,0,0,32
1677132237775,20,0.46,2324,6144,3819,0,0,0,0,0,32
1677132297771,20,0.47,2373,6144,3770,0,0,0,0,0,32
1677132357773,20,0.49,2419,6144,3724,0,0,0,0,0,32
1677132417776,20,0.44,2467,6144,3676,0,0,0,0,0,32
1677132477772,20,0.43,2320,6144,3823,0,0,0,0,0,32
1677132537775,20,0.47,2370,6144,3773,0,0,0,0,0,32
1677132597788,20,0.48,2417,6144,3726,0,0,0,0,0,32
1677132657775,20,0.45,2464,6144,3679,0,0,0,0,0,32
1677132717776,20,0.47,2314,6144,3829,0,0,0,0,0,32
1677132777786,20,0.48,2362,6144,3781,0,0,0,0,0,32
1677132837777,20,0.42,2409,6144,3734,0,0,0,0,0,32
