time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677113768708,20,0.08,1006,1274,267,15,15,15,15,1,32
1677113828703,20,0.07,1015,1274,258,15,15,15,15,1,32
1677113888702,20,0.07,1099,1274,174,15,15,15,15,1,32
1677113948703,20,0.08,1076,1274,197,16,16,16,16,1,32
1677114008704,20,0.07,1102,1274,171,18,18,18,18,1,32
1677114068704,20,0.08,1080,1274,193,18,18,18,18,1,32
1677114128706,20,0.07,1068,1274,205,16,16,16,16,1,32
1677114188707,20,0.06,1063,1274,210,16,16,16,16,1,32
1677114248704,20,0.07,1062,1274,211,17,17,17,17,1,32
1677114308701,20,0.08,1098,1274,175,15,15,15,15,1,32
1677114368704,20,0.07,1128,1274,145,0,0,0,0,0,32
1677114428703,20,0.05,1139,1274,134,0,0,0,0,0,32
1677114488702,20,0.08,1126,1274,147,18,18,18,18,1,32
1677114548706,20,0.06,1134,1274,139,26,26,26,26,1,32
1677114608704,20,0.07,1154,1274,119,30,30,30,30,1,32
1677114668704,20,0.08,1121,1274,152,0,0,0,0,0,32
1677114728705,20,0.07,1121,1274,152,0,0,0,0,0,32
1677114788707,20,0.06,1131,1274,142,0,0,0,0,0,32
1677114848708,20,0.06,1128,1274,145,0,0,0,0,0,32
1677114908704,20,0.06,1124,1274,149,0,0,0,0,1,32
1677114968706,20,0.06,1126,1274,147,20,20,20,20,1,32
1677115028704,20,0.06,1121,1274,152,30,30,30,30,1,32
1677115088703,20,0.07,1124,1274,149,0,0,0,0,0,32
1677115148702,20,0.1,954,1800,845,0,0,0,0,0,32
1677115208703,20,0.08,739,1800,1060,0,0,0,0,0,32
1677115268703,20,0.08,717,1852,1134,9,9,7,11,2,32
1677115328708,20,0.08,883,1852,968,15,15,13,18,2,32
1677115388704,20,0.09,788,1852,1063,20,20,15,26,2,32
1677115448706,20,0.09,776,1852,1075,22,22,17,28,2,32
1677115508702,20,0.08,937,1852,914,21,21,16,26,2,32
1677115568706,20,0.06,1324,1852,527,20,20,15,25,2,32
1677115628701,20,0.06,1131,1852,720,22,22,16,29,2,32
1677115688708,20,0.07,912,1852,939,21,21,15,28,2,32
1677115748702,20,0.06,1266,1852,585,20,20,15,25,2,32
1677115808703,20,0.06,832,1852,1019,27,27,16,38,2,32
1677115868707,20,0.05,1153,1852,698,22,22,16,29,2,32
1677115928703,20,0.06,1015,1852,836,18,18,6,30,2,32
1677115988702,20,0.07,1603,1852,248,17,17,12,23,2,32
1677116048702,20,0.06,1148,1852,703,19,19,14,25,2,32
1677116108702,20,0.09,1146,1852,705,20,20,15,26,2,32
1677116168707,20,0.08,1226,1852,625,22,22,17,28,2,32
1677116228701,20,0.07,1249,1852,602,21,21,16,27,2,32
1677116288702,20,0.06,1238,1852,613,21,21,16,26,2,32
1677116348705,20,0.09,1399,1852,452,20,20,16,24,2,32
1677116408702,20,0.09,1468,1852,383,25,25,19,31,2,32
1677116468705,20,0.09,1505,1852,346,22,22,18,26,2,32
1677116528706,20,0.08,1322,1852,529,22,22,15,29,2,32
1677116588706,20,0.08,1551,1852,300,25,25,22,28,2,32
1677116648711,20,0.07,1508,1852,343,25,25,19,31,2,32
1677116709036,20,0.06,1535,1852,316,25,25,18,32,2,32
1677116768701,20,0.06,1590,1852,261,22,22,16,28,2,32
1677116828702,20,0.06,1399,1852,452,21,21,16,27,2,32
1677116888703,20,0.08,1371,1852,480,21,21,16,26,2,32
1677116948702,20,0.08,1598,1852,253,23,23,16,31,2,32
1677117008723,20,0.06,1519,1852,332,27,27,27,27,1,32
1677117068704,20,0.05,1476,1852,375,31,31,31,31,1,32
1677117128703,20,0.05,1416,1852,435,30,30,30,30,1,32
1677117188701,20,0.06,1594,1852,257,28,28,28,28,1,32
1677117248710,20,0.05,1532,1852,319,26,26,26,26,1,32
1677117308710,20,0.05,1474,1852,377,30,30,30,30,1,32
1677117368708,20,0.05,1419,1852,432,31,31,31,31,1,32
1677117428701,20,0.05,1585,1852,266,28,28,28,28,1,32
1677117488703,20,0.05,1555,1852,296,25,25,25,25,1,32
1677117548704,20,0.05,1507,1852,344,37,37,37,37,1,32
1677117608705,20,0.05,1446,1852,405,31,31,31,31,1,32
1677117668703,20,0.06,1611,1852,240,30,30,30,30,1,32
1677117728702,20,0.06,1537,1852,314,28,28,28,28,1,32
1677117788703,20,0.06,1457,1852,394,28,28,28,28,1,32
