time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677367018959,20,0,777,3072,2294,0,0,0,0,0,32
1677367078911,20.05,0.24,508,3072,2563,0,0,0,0,0,32
1677367159089,20,0,874,3072,2197,0,0,0,0,0,32
1677367219012,20.01,0.27,594,3072,2477,0,0,0,0,0,32
1677367269678,20,0,420,3072,2651,0,0,0,0,0,32
1677367329664,20.01,0.24,616,3072,2455,0,0,0,0,0,32
1677367389655,20,0.08,682,3072,2389,0,0,0,0,0,32
1677367449657,20,0.08,746,3072,2325,0,0,0,0,0,32
1677367509665,20,0.08,812,3072,2259,0,0,0,0,0,32
1677367569653,20,0.07,878,3072,2193,0,0,0,0,0,32
1677367629652,20,0.07,992,3072,2079,0,0,0,0,0,32
1677367689655,20,0.07,1052,3072,2019,0,0,0,0,0,32
1677367749654,20,0.07,1107,3072,1964,0,0,0,0,0,32
1677367809656,20,0.07,1164,3072,1907,0,0,0,0,0,32
1677367869653,20,0.06,1221,3072,1850,0,0,0,0,0,32
1677367929654,20,0.06,1280,3072,1791,0,0,0,0,0,32
1677367989652,20,0.06,1335,3072,1736,0,0,0,0,0,32
1677368049656,20,0.05,1393,3072,1678,0,0,0,0,0,32
1677368109655,20,0.06,494,3072,2577,0,0,0,0,0,32
1677368169653,20,0.06,552,3072,2519,0,0,0,0,0,32
1677368229653,20,0.06,613,3072,2458,0,0,0,0,0,32
1677368289654,20,0.07,670,3072,2401,0,0,0,0,0,32
1677368349654,20,0.06,726,3072,2345,0,0,0,0,0,32
1677368409653,20,0.06,784,3072,2287,0,0,0,0,0,32
1677368469652,20,0.06,848,3072,2223,0,0,0,0,0,32
1677368529652,20,0.06,913,3072,2158,0,0,0,0,0,32
1677368589654,20,0.06,975,3072,2096,0,0,0,0,0,32
1677368649652,20,0.07,1035,3072,2036,0,0,0,0,0,32
1677368709652,20,0.05,1094,3072,1977,0,0,0,0,0,32
1677368769654,20,0.05,1153,3072,1918,0,0,0,0,0,32
1677368829652,20,0.05,1214,3072,1857,0,0,0,0,0,32
1677368889654,20,0.06,1275,3072,1796,0,0,0,0,0,32
1677368949661,20,0.05,1340,3072,1731,0,0,0,0,0,32
1677369009652,20,0.07,1402,3072,1669,0,0,0,0,0,32
1677369069666,20,0.06,1465,3072,1606,0,0,0,0,0,32
1677369129653,20,0.05,529,3072,2542,0,0,0,0,0,32
1677369189652,20,0.06,590,3072,2481,0,0,0,0,0,32
1677369249653,20,0.06,648,3072,2423,0,0,0,0,0,32
1677369309653,20,0.05,707,3072,2364,0,0,0,0,0,32
1677369337411,20,0,468,3072,2603,0,0,0,0,0,32
1677369397357,20.02,0.23,460,3072,2611,0,0,0,0,0,32
1677369433905,20,0,443,3072,2628,0,0,0,0,0,32
1677369493876,20.02,0.21,872,3072,2199,0,0,0,0,0,32
1677369553876,20,0.06,934,3072,2137,0,0,0,0,0,32
1677369613876,20,0.07,997,3072,2074,0,0,0,0,0,32
1677369673874,20,0.06,1060,3072,2011,0,0,0,0,0,32
1677369733871,20,0.06,1126,3072,1945,0,0,0,0,0,32
1677369793873,20,0.07,1242,3072,1829,0,0,0,0,0,32
1677369853872,20,0.06,488,3072,2583,0,0,0,0,0,32
1677369913875,20,0.06,548,3072,2523,0,0,0,0,0,32
1677369973873,20,0.06,610,3072,2461,0,0,0,0,0,32
1677370051479,20,0,407,3072,2664,0,0,0,0,0,32
1677370111450,20,0.29,866,3072,2205,0,0,0,0,0,32
1677370171451,20,0.07,540,3072,2531,0,0,0,0,0,32
1677370231451,20,0.07,618,3072,2453,0,0,0,0,0,32
1677370291451,20,0.06,699,3072,2372,0,0,0,0,0,32
1677370351457,20,0.07,783,3072,2288,0,0,0,0,0,32
1677370411454,20,0.07,937,3072,2134,0,0,0,0,0,32
1677370471459,20,0.06,1011,3072,2060,0,0,0,0,0,32
1677370531453,20,0.06,564,3072,2507,0,0,0,0,0,32
1677370591455,20,0.06,640,3072,2431,0,0,0,0,0,32
1677370651452,20,0.06,716,3072,2355,0,0,0,0,0,32
1677370711454,20,0.05,794,3072,2277,0,0,0,0,0,32
1677370788213,20,0,457,3072,2614,0,0,0,0,0,32
1677370848196,20.01,0.24,1065,3072,2006,0,0,0,0,0,32
1677370908195,20,0.06,514,3072,2557,0,0,0,0,0,32
1677370968200,20,0.06,560,3072,2511,0,0,0,0,0,32
1677371028196,20,0.06,609,3072,2462,0,0,0,0,0,32
1677371088204,20,0.07,663,3072,2408,0,0,0,0,0,32
1677371148202,20,0.07,806,3072,2265,0,0,0,0,0,32
1677371208205,20,0.06,849,3072,2222,0,0,0,0,0,32
1677371268203,20,0.07,893,3072,2178,0,0,0,0,0,32
1677371347811,20,0,646,3072,2425,0,0,0,0,0,32
1677371400230,20,0,406,3072,2665,0,0,0,0,0,32
1677371460150,20.01,0.29,674,3072,2397,0,0,0,0,0,32
1677371524638,20,0,339,3072,2732,0,0,0,0,0,32
1677371584616,20,0.29,796,3072,2275,0,0,0,0,0,32
1677371644615,20,0.06,886,3072,2185,0,0,0,0,0,32
1677371704614,20,0.06,934,3072,2137,0,0,0,0,0,32
1677371764621,20,0.06,986,3072,2085,0,0,0,0,0,32
1677371824613,20,0.07,525,3072,2546,0,0,0,0,0,32
1677371932601,20,0,678,3072,2393,0,0,0,0,0,32
1677372165413,20,0,495,3072,2576,0,0,0,0,0,32
1677372225391,20.01,0.31,612,3072,2459,0,0,0,0,0,32
1677372285363,20,0.07,777,3072,2294,0,0,0,0,0,32
