time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677350161441,20,0,350,3072,2721,0,0,0,0,0,32
1677350221369,20.01,0.3,618,3072,2453,12,12,12,12,1,32
1677351474823,20,0,457,3072,2614,0,0,0,0,0,32
1677351534787,20.04,0.2,774,3072,2297,0,0,0,0,0,32
1677351594797,20,0.06,844,3072,2227,0,0,0,0,0,32
1677351654789,20,0.05,913,3072,2158,0,0,0,0,0,32
1677351714789,20,0.06,982,3072,2089,0,0,0,0,0,32
1677351774788,20,0.05,500,3072,2571,0,0,0,0,0,32
1677351834788,20,0.13,1040,3072,2031,13,13,13,13,1,32
1677351894789,20,0.08,530,3072,2541,45,45,45,45,1,32
1677351954789,20,0.07,493,3072,2578,41,41,41,41,1,32
1677352014787,20,0.07,709,3072,2362,48,48,48,48,1,32
1677352065813,20,0,536,3072,2535,0,0,0,0,0,32
1677352125767,18.53,0.27,588,3072,2483,35,35,35,35,1,32
1677352185769,19.99,0.08,812,3072,2259,47,47,47,47,1,32
1677352245766,20.01,0.08,688,3072,2383,44,44,44,44,1,32
1677352305770,19.99,0.07,541,3072,2530,36,36,36,36,1,32
1677352556476,20,0,389,3072,2682,0,0,0,0,0,32
1677352616456,20.01,0.18,395,3072,2676,0,0,0,0,0,32
1677352676453,20,0.07,440,3072,2631,0,0,0,0,0,32
1677352736456,20,0.08,487,3072,2584,0,0,0,0,0,32
1677352796454,20,0.06,531,3072,2540,0,0,0,0,0,32
1677352856452,20,0.06,581,3072,2490,0,0,0,0,0,32
1677352916453,20,0.06,647,3072,2424,0,0,0,0,0,32
1677352976453,20,0.06,689,3072,2382,0,0,0,0,0,32
1677353036454,20,0.07,733,3072,2338,0,0,0,0,0,32
1677353096455,20,0.07,776,3072,2295,0,0,0,0,0,32
1677353156454,20,0.06,820,3072,2251,0,0,0,0,0,32
1677353216457,20,0.07,861,3072,2210,0,0,0,0,0,32
1677353276460,20,0.06,903,3072,2168,0,0,0,0,0,32
1677353336454,20,0.06,945,3072,2126,0,0,0,0,0,32
1677353396453,20,0.07,989,3072,2082,0,0,0,0,0,32
1677353456453,20,0.06,352,3072,2719,0,0,0,0,0,32
1677353516452,20,0.06,395,3072,2676,0,0,0,0,0,32
1677353576453,20,0.05,440,3072,2631,0,0,0,0,0,32
1677353636460,20,0.06,484,3072,2587,0,0,0,0,0,32
1677353696454,20,0.06,527,3072,2544,0,0,0,0,0,32
1677353756455,20,0.05,570,3072,2501,0,0,0,0,0,32
1677353816452,20,0.06,614,3072,2457,0,0,0,0,0,32
1677353876452,20,0.07,658,3072,2413,0,0,0,0,0,32
1677353936455,20,0.07,701,3072,2370,0,0,0,0,0,32
1677353996456,20,0.06,744,3072,2327,0,0,0,0,0,32
1677354056452,20,0.05,788,3072,2283,0,0,0,0,0,32
1677354116454,20,0.07,832,3072,2239,0,0,0,0,0,32
1677354176454,20,0.06,875,3072,2196,0,0,0,0,0,32
1677354236452,20,0.06,919,3072,2152,0,0,0,0,0,32
1677354296455,20,0.05,964,3072,2107,0,0,0,0,0,32
1677354356454,20,0.06,1015,3072,2056,0,0,0,0,0,32
1677354416452,20,0.06,351,3072,2720,0,0,0,0,0,32
1677354476457,20,0.07,394,3072,2677,0,0,0,0,0,32
1677354536454,20,0.05,436,3072,2635,0,0,0,0,0,32
1677354596497,20,0.06,478,3072,2593,0,0,0,0,0,32
1677354656456,20,0.06,523,3072,2548,0,0,0,0,0,32
1677354716454,20,0.06,566,3072,2505,0,0,0,0,0,32
1677354776452,20,0.07,609,3072,2462,0,0,0,0,0,32
1677354836451,20,0.06,651,3072,2420,0,0,0,0,0,32
1677354896455,20,0.05,694,3072,2377,0,0,0,0,0,32
1677354956452,20,0.06,735,3072,2336,0,0,0,0,0,32
1677355016461,20,0.06,779,3072,2292,0,0,0,0,0,32
1677355076454,20,0.06,823,3072,2248,0,0,0,0,0,32
1677355136451,20,0.05,865,3072,2206,0,0,0,0,0,32
1677355196454,20,0.06,910,3072,2161,0,0,0,0,0,32
1677355256458,20,0.05,952,3072,2119,0,0,0,0,0,32
1677355316456,20,0.07,996,3072,2075,0,0,0,0,0,32
1677355376457,20,0.05,1039,3072,2032,0,0,0,0,0,32
1677355436452,20,0.05,374,3072,2697,0,0,0,0,0,32
1677355496455,20,0.06,417,3072,2654,0,0,0,0,0,32
1677355556451,20,0.05,460,3072,2611,0,0,0,0,0,32
1677355616455,20,0.05,502,3072,2569,0,0,0,0,0,32
1677355676453,20,0.06,546,3072,2525,0,0,0,0,0,32
1677355736451,20,0.06,589,3072,2482,0,0,0,0,0,32
1677355796453,20,0.07,632,3072,2439,0,0,0,0,0,32
1677355856453,20,0.05,674,3072,2397,0,0,0,0,0,32
1677355916456,20,0.06,717,3072,2354,0,0,0,0,0,32
1677355976454,20,0.06,761,3072,2310,0,0,0,0,0,32
1677356036453,20,0.05,803,3072,2268,0,0,0,0,0,32
1677356096453,20,0.06,848,3072,2223,0,0,0,0,0,32
1677356156454,20,0.05,901,3072,2170,0,0,0,0,0,32
1677356216454,20,0.05,944,3072,2127,0,0,0,0,0,32
1677356276501,20,0.06,986,3072,2085,0,0,0,0,0,32
1677356336453,20,0.05,1028,3072,2043,0,0,0,0,0,32
1677356396456,20,0.06,362,3072,2709,0,0,0,0,0,32
1677356456453,20,0.06,403,3072,2668,0,0,0,0,0,32
1677356516454,20,0.05,446,3072,2625,0,0,0,0,0,32
1677356576461,20,0.06,488,3072,2583,0,0,0,0,0,32
1677356636453,20,0.05,530,3072,2541,0,0,0,0,0,32
1677356696454,20,0.06,573,3072,2498,0,0,0,0,0,32
1677356756455,20,0.05,615,3072,2456,0,0,0,0,0,32
1677356816459,20,0.06,659,3072,2412,0,0,0,0,0,32
1677356876457,20,0.06,701,3072,2370,0,0,0,0,0,32
1677356936454,20,0.05,744,3072,2327,0,0,0,0,0,32
1677356996455,20,0.06,785,3072,2286,0,0,0,0,0,32
1677357056451,20,0.06,827,3072,2244,0,0,0,0,0,32
1677357116455,20,0.06,870,3072,2201,0,0,0,0,0,32
1677357176454,20,0.07,913,3072,2158,0,0,0,0,0,32
1677357236452,20,0.05,956,3072,2115,0,0,0,0,0,32
1677357296453,20,0.05,996,3072,2075,0,0,0,0,0,32
1677357356452,20,0.06,1039,3072,2032,0,0,0,0,0,32
1677357416454,20,0.05,374,3072,2697,0,0,0,0,0,32
1677357476452,20,0.05,420,3072,2651,0,0,0,0,0,32
1677357536453,20,0.05,463,3072,2608,0,0,0,0,0,32
1677357596458,20,0.06,506,3072,2565,0,0,0,0,0,32
1677357656458,20,0.05,550,3072,2521,0,0,0,0,0,32
1677357716452,20,0.05,593,3072,2478,0,0,0,0,0,32
1677357776452,20,0.05,636,3072,2435,0,0,0,0,0,32
1677357836459,20,0.07,679,3072,2392,0,0,0,0,0,32
1677357896461,20,0.05,729,3072,2342,0,0,0,0,0,32
1677357956459,20,0.05,776,3072,2295,0,0,0,0,0,32
1677358016453,20,0.06,819,3072,2252,0,0,0,0,0,32
1677358076451,20,0.05,862,3072,2209,0,0,0,0,0,32
1677358136453,20,0.05,906,3072,2165,0,0,0,0,0,32
1677358196453,20,0.07,949,3072,2122,0,0,0,0,0,32
1677358256452,20,0.07,992,3072,2079,0,0,0,0,0,32
1677358316461,20,0.06,1035,3072,2036,0,0,0,0,0,32
1677358376455,20,0.05,370,3072,2701,0,0,0,0,0,32
1677358436454,20,0.05,411,3072,2660,0,0,0,0,0,32
1677358496451,20,0.06,454,3072,2617,0,0,0,0,0,32
1677358556453,20,0.05,497,3072,2574,0,0,0,0,0,32
1677358616454,20,0.05,540,3072,2531,0,0,0,0,0,32
1677358676452,20,0.05,584,3072,2487,0,0,0,0,0,32
1677358736455,20,0.06,626,3072,2445,0,0,0,0,0,32
1677358796453,20,0.05,668,3072,2403,0,0,0,0,0,32
1677358856453,20,0.06,711,3072,2360,0,0,0,0,0,32
1677358916454,20,0.05,754,3072,2317,0,0,0,0,0,32
1677358976456,20,0.05,796,3072,2275,0,0,0,0,0,32
1677359036454,20,0.05,839,3072,2232,0,0,0,0,0,32
1677359096452,20,0.05,882,3072,2189,0,0,0,0,0,32
1677359156453,20,0.05,926,3072,2145,0,0,0,0,0,32
1677359216453,20,0.05,968,3072,2103,0,0,0,0,0,32
1677359276457,20,0.05,1012,3072,2059,0,0,0,0,0,32
1677359336456,20,0.05,348,3072,2723,0,0,0,0,0,32
1677359396471,20,0.05,392,3072,2679,0,0,0,0,0,32
1677359456452,20,0.05,433,3072,2638,0,0,0,0,0,32
1677359516453,20,0.05,477,3072,2594,0,0,0,0,0,32
1677359576452,20,0.05,519,3072,2552,0,0,0,0,0,32
1677359636454,20,0.05,563,3072,2508,0,0,0,0,0,32
1677359696452,20,0.05,613,3072,2458,0,0,0,0,0,32
1677359756452,20,0.05,658,3072,2413,0,0,0,0,0,32
1677359816452,20,0.06,699,3072,2372,0,0,0,0,0,32
1677359876454,20,0.06,743,3072,2328,0,0,0,0,0,32
1677359936456,20,0.05,785,3072,2286,0,0,0,0,0,32
1677359996452,20,0.05,828,3072,2243,0,0,0,0,0,32
1677360056452,20,0.05,873,3072,2198,0,0,0,0,0,32
1677360116453,20,0.06,916,3072,2155,0,0,0,0,0,32
1677360176454,20,0.05,957,3072,2114,0,0,0,0,0,32
1677360236454,20,0.07,1000,3072,2071,0,0,0,0,0,32
1677360296453,20,0.05,1043,3072,2028,0,0,0,0,0,32
1677360356457,20,0.06,377,3072,2694,0,0,0,0,0,32
1677360416453,20,0.05,420,3072,2651,0,0,0,0,0,32
1677360476452,20,0.05,462,3072,2609,0,0,0,0,0,32
1677360536453,20,0.05,505,3072,2566,0,0,0,0,0,32
1677360596452,20,0.06,548,3072,2523,0,0,0,0,0,32
1677360656455,20,0.05,591,3072,2480,0,0,0,0,0,32
1677360716464,20,0.05,632,3072,2439,0,0,0,0,0,32
1677360776454,20,0.05,674,3072,2397,0,0,0,0,0,32
1677360836452,20,0.05,717,3072,2354,0,0,0,0,0,32
1677360896453,20,0.06,760,3072,2311,0,0,0,0,0,32
1677360956455,20,0.06,802,3072,2269,0,0,0,0,0,32
1677361016453,20,0.05,844,3072,2227,0,0,0,0,0,32
1677361076452,20,0.05,887,3072,2184,0,0,0,0,0,32
1677361136453,20,0.05,930,3072,2141,0,0,0,0,0,32
1677361196455,20,0.06,972,3072,2099,0,0,0,0,0,32
1677361256455,20,0.05,1015,3072,2056,0,0,0,0,0,32
1677361316453,20,0.06,351,3072,2720,0,0,0,0,0,32
1677361376458,20,0.06,394,3072,2677,0,0,0,0,0,32
1677361436452,20,0.06,442,3072,2629,0,0,0,0,0,32
1677361496455,20,0.07,489,3072,2582,0,0,0,0,0,32
1677361556455,20,0.07,533,3072,2538,0,0,0,0,0,32
1677361616452,20,0.05,576,3072,2495,0,0,0,0,0,32
1677361676454,20,0.05,617,3072,2454,0,0,0,0,0,32
1677361736451,20,0.04,659,3072,2412,0,0,0,0,0,32
1677361796456,20,0.05,702,3072,2369,0,0,0,0,0,32
1677361856453,20,0.05,746,3072,2325,0,0,0,0,0,32
1677361916456,20,0.05,790,3072,2281,0,0,0,0,0,32
1677361976453,20,0.05,832,3072,2239,0,0,0,0,0,32
1677362036454,20,0.04,875,3072,2196,0,0,0,0,0,32
1677362096454,20,0.05,917,3072,2154,0,0,0,0,0,32
1677362156453,20,0.05,959,3072,2112,0,0,0,0,0,32
1677362216456,20,0.06,1002,3072,2069,0,0,0,0,0,32
1677362276454,20,0.05,1043,3072,2028,0,0,0,0,0,32
1677362336455,20,0.05,378,3072,2693,0,0,0,0,0,32
1677362396459,20,0.08,428,3072,2643,0,0,0,0,0,32
1677362456457,20,0.1,470,3072,2601,0,0,0,0,0,32
1677362516453,20,0.07,513,3072,2558,0,0,0,0,0,32
1677362576453,20,0.06,555,3072,2516,0,0,0,0,0,32
1677362635847,20,0,399,3072,2672,0,0,0,0,0,32
1677362695831,20.01,0.18,749,3072,2322,0,0,0,0,0,32
1677362755827,20,0.05,794,3072,2277,0,0,0,0,0,32
1677362815827,20,0.05,838,3072,2233,0,0,0,0,0,32
1677362875830,20,0.06,884,3072,2187,0,0,0,0,0,32
1677362935830,20,0.07,934,3072,2137,0,0,0,0,0,32
1677363048596,20,0,478,3072,2593,0,0,0,0,0,32
1677363108575,20.02,0.17,758,3072,2313,0,0,0,0,0,32
1677363168571,20,0.07,804,3072,2267,0,0,0,0,0,32
1677363228572,20,0.06,847,3072,2224,0,0,0,0,0,32
1677363288570,20,0.07,890,3072,2181,0,0,0,0,0,32
1677363348572,20,0.07,944,3072,2127,0,0,0,0,0,32
1677363444265,20,0,657,3072,2414,0,0,0,0,0,32
1677363534661,20,0,288,3072,2783,0,0,0,0,0,32
1677363594642,20.02,0.17,1175,3072,1896,0,0,0,0,0,32
1677363654642,20,0.05,1220,3072,1851,0,0,0,0,0,32
1677363714644,20,0.05,382,3072,2689,0,0,0,0,0,32
1677363774641,20,0.06,425,3072,2646,0,0,0,0,0,32
1677363834643,19.99,0.09,563,3072,2508,0,0,0,0,2,32
1677363894648,20.01,0.08,670,3072,2401,28,28,18,39,2,32
1677363954641,20,0.06,741,3072,2330,30,30,19,42,2,32
1677364014643,20,0.06,812,3072,2259,39,39,17,62,2,32
1677364077811,20,0,339,3072,2732,0,0,0,0,0,32
1677364137790,20.02,0.17,369,3072,2702,0,0,0,0,0,32
1677364197804,20,0.07,418,3072,2653,0,0,0,0,0,32
1677364257793,20,0.06,461,3072,2610,0,0,0,0,0,32
1677364317790,20,0.06,508,3072,2563,0,0,0,0,0,32
1677364377790,20,0.06,554,3072,2517,0,0,0,0,0,32
1677364437790,20,0.06,618,3072,2453,0,0,0,0,0,32
1677364497791,20,0.05,664,3072,2407,0,0,0,0,0,32
1677364557791,20,0.06,708,3072,2363,0,0,0,0,0,32
